game_id,round_id,player_id,given_value,kept_value,opponent_bundle_value,is_envy_free
61,1,2,373,947,610,True
61,2,2,472,848,754,True
62,1,1,650,758,992,False
62,1,2,325,923,685,True
63,1,1,403,712,535,True
63,1,2,344,306,464,False
64,1,1,409,577,577,True
64,1,2,298,304,304,True
65,1,1,150,644,644,True
65,1,2,324,840,840,True
66,1,1,485,625,625,True
66,1,2,564,435,435,True
67,1,1,247,717,590,True
67,2,1,155,809,682,True
67,1,2,395,601,756,False
67,2,2,317,679,834,False
68,1,1,669,407,987,False
68,1,2,24,799,474,True
70,1,1,278,412,629,False
70,2,1,101,589,587,True
70,1,2,216,773,616,True
70,2,2,261,728,779,False
71,1,1,196,1060,1060,True
71,1,2,233,1044,1044,True
72,1,1,419,561,633,False
72,1,2,483,843,741,True
73,1,1,258,634,634,True
73,1,2,328,778,778,True
74,1,1,701,992,880,True
74,2,1,756,937,839,True
74,1,2,678,740,918,False
74,2,2,607,811,819,False
75,1,1,142,1504,1257,True
75,2,1,388,1258,1193,True
75,1,2,253,661,732,False
75,2,2,280,634,902,False
76,1,1,430,721,721,True
76,1,2,623,789,789,True
77,1,1,263,1270,1270,True
77,1,2,380,895,895,True
78,1,1,366,581,813,False
78,1,2,70,579,451,True
80,1,1,293,469,469,True
80,1,2,280,552,552,True
82,1,1,246,512,512,True
82,1,2,402,649,649,True
83,1,1,484,744,744,True
83,1,2,821,513,513,True
84,1,1,183,656,672,False
84,2,1,201,638,674,False
84,1,2,170,702,682,True
84,2,2,179,693,662,True
85,1,1,289,228,228,True
85,1,2,741,216,216,True
86,1,1,504,701,693,True
86,1,2,702,606,1014,False
87,1,1,400,777,777,True
87,1,2,593,813,813,True
88,1,1,228,1224,1228,False
88,1,2,448,846,1194,False
90,1,1,654,734,734,True
90,1,2,452,501,501,True
91,1,1,456,1158,1514,False
91,1,2,119,1590,1261,True
92,1,1,334,676,618,True
92,2,1,203,807,807,True
92,1,2,559,975,1183,False
92,2,2,266,1268,1268,True
93,1,1,319,621,877,False
93,2,1,194,746,746,True
93,1,2,294,547,484,True
93,2,2,307,534,534,True
94,1,1,491,967,967,True
94,1,2,307,575,575,True
95,1,1,386,1606,1608,False
95,1,2,154,666,695,False
96,1,1,211,409,409,True
96,1,2,164,346,346,True
97,1,1,202,275,275,True
97,1,2,439,501,501,True
98,1,1,238,348,460,False
98,2,1,210,376,460,False
98,1,2,354,646,792,False
98,2,2,354,646,772,False
99,1,1,404,258,258,True
99,1,2,615,36,36,True
100,1,1,256,1270,1270,True
100,1,2,246,1112,1112,True
